Temperature,Stress,Ni,Al,Co,Cr,Mo,Re,Ru,Ti,Ta,W,Hf,Nb,Si,C,Y,Ce,B,Ni_A1,Al_A1,Co_A1,Cr_A1,Mo_A1,Re_A1,Ru_A1,Ti_A1,Ta_A1,W_A1,Hf_A1,Ni_L12,Al_L12,Co_L12,Cr_L12,Mo_L12,Re_L12,Ru_L12,Ti_L12,Ta_L12,W_L12,Hf_L12,creep_life
900,500,61.7,6,9.5,3.6,1,3.5,0,0.3,6,8,0.1,0.3,0,0,0,0,0,0.158855483,0.015090799,0.059501763,0.027282493,0.003116609,0.008788895,0,0.000174576,0.000724061,0.012655322,2.86E-06,0.491816392,0.122011514,0.038957789,0.015031739,0.003231718,0.001155197,0,0.003685292,0.019716312,0.01275678,0.000340181,110
1100,140,61.7,6,9.5,3.6,1,3.5,0,0.3,6,8,0.1,0.3,0,0,0,0,0,0.302641748,0.048518465,0.074034626,0.032839141,0.004799185,0.010105115,0,0.001083046,0.004555748,0.018213055,2.48E-05,0.348680479,0.0885866,0.025355744,0.009847428,0.001630336,0.001484411,0,0.002782641,0.015885708,0.008619645,0.00031701,148
1100,137,62.55,6,8,6.9,1.4,2.9,0,0,6.7,5.5,0,0,0,0.05,0,0,0,0.339018252,0.055951139,0.066947967,0.066278937,0.007477393,0.008517482,0,0,0.004812518,0.013195069,0,0.305638711,0.07844759,0.015094999,0.013921722,0.001344015,0.000893092,0,0,0.017564135,0.004885736,0,122
750,750,60.99,4.5,9,12,2,0,0,2.5,5,4,0,0,0,0.01,0,0,0,0.1725583,0.007379172,0.05906802,0.093039926,0.005401,0,0,0.000502338,0.000159362,0.008328418,0,0.424398133,0.090031414,0.018373758,0.012968662,0.000624351,0,0,0.029998579,0.015977439,0.002247664,0,1450
1100,150,60.5,6.5,9,3.5,1.5,4,0,0,9,6,0,0,0,0,0,0,0,0.216801347,0.037388689,0.065954939,0.030034735,0.007092549,0.010729162,0,0,0.003944149,0.012470585,0,0.42273595,0.112120127,0.028530075,0.01158996,0.002521691,0.001926547,0,0,0.026916439,0.007203077,0,82
850,650,60.5,6.5,9,3.5,1.5,4,0,0,9,6,0,0,0,0,0,0,0,0.061143893,0.005234918,0.0313671,0.016581606,0.001459341,0.004466581,0,0,0.000215783,0.004262024,0,0.57651909,0.144273102,0.057811507,0.020979485,0.007495092,0.001501244,0,0,0.0306455,0.011709215,0,76
980,200,72,6,6,4,3,0,0,0,5,4,0,0,0,0,0,0,0,0.286785729,0.033677694,0.036950904,0.028804248,0.009504432,0,0,0,0.002081115,0.006295878,0,0.431240912,0.09647621,0.022638241,0.016220398,0.008801443,0,0,0,0.014087076,0.00643572,0,395
980,200,70,6,6,4,3,0,0,0,5,6,0,0,0,0,0,0,0,0.229786255,0.025822041,0.032222717,0.026131108,0.008467768,0,0,0,0.001674943,0.008225168,0,0.477904833,0.10611947,0.028189027,0.019515994,0.010088494,0,0,0,0.014722124,0.011136736,0,123
1080,137,67.8,6,6,4,3,4.2,0,0,5,4,0,0,0,0,0,0,0,0.348209829,0.049629314,0.045853731,0.035481194,0.013652961,0.01166717,0,0,0.002950319,0.00835064,0,0.347895201,0.08436875,0.01549472,0.010875357,0.005190731,0.001922314,0,0,0.013703143,0.004759784,0,140
1080,137,67.5,6,6,4,3,4.5,0,0,5,4,0,0,0,0,0,0,0,0.344742899,0.04913103,0.045946232,0.035571276,0.013703352,0.012528926,0,0,0.002861703,0.008364584,0,0.349749343,0.085148949,0.015535214,0.010882931,0.005178405,0.002060645,0,0,0.013825317,0.00477407,0,96
1072,137,69,6,6,4,3,0,0,0,8,4,0,0,0,0,0,0,0,0.296695913,0.040272863,0.043458187,0.033042262,0.013241475,0,0,0,0.004312913,0.007726388,0,0.40560415,0.09256135,0.017359463,0.012914363,0.005438513,0,0,0,0.022096413,0.005270138,0,98
1072,137,67,6,6,4,3,2,0,0,8,4,0,0,0,0,0,0,0,0.279535914,0.03800762,0.044780959,0.034110279,0.013841543,0.0055426,0,0,0.003542649,0.007982711,0,0.412051776,0.096705094,0.016899197,0.012495441,0.005102401,0.000962069,0,0,0.023244269,0.005199753,0,217
1072,137,64.8,6,6,4,3,4.2,0,0,8,4,0,0,0,0,0,0,0,0.259964597,0.035284963,0.046220899,0.035276678,0.0144984,0.011942539,0,0,0.002771266,0.0082848,0,0.419480309,0.101559069,0.016430568,0.012066656,0.004744656,0.001938866,0,0,0.024437907,0.00510197,0,250
1080,137,69,6,6,4,3,0,0,0,8,4,0,0,0,0,0,0,0,0.303999491,0.041840105,0.043860065,0.033342806,0.013408046,0,0,0,0.004587554,0.007841934,0,0.398305446,0.090995423,0.016957962,0.012609626,0.005268707,0,0,0,0.021824352,0.005152972,0,42
1080,137,67,6,6,4,3,2,0,0,8,4,0,0,0,0,0,0,0,0.286278674,0.039510806,0.045117778,0.034357982,0.013982494,0.005545836,0,0,0.003790382,0.008087314,0,0.40530874,0.09520108,0.016561608,0.012246577,0.004957216,0.000957644,0,0,0.022994722,0.005092413,0,123
1080,137,64.8,6,6,4,3,4.2,0,0,8,4,0,0,0,0,0,0,0,0.266207284,0.036738077,0.046501914,0.035477954,0.014614042,0.011941566,0,0,0.002993849,0.008381085,0,0.413238011,0.100104933,0.016154149,0.011865998,0.004628663,0.00193919,0,0,0.024211023,0.005003804,0,140
1100,137,66.5,6,4,6.5,3,2,0,0,8,4,0,0,0,0,0,0,0,0.290624462,0.040497629,0.03103945,0.057227856,0.015180965,0.005564698,0,0,0.00340115,0.008139274,0,0.393474432,0.093757237,0.009935558,0.01824809,0.003695677,0.000915694,0,0,0.023292634,0.004995195,0,57
1100,137,65.8,6,4,5,3,4.2,0,0,8,4,0,0,0,0,0,0,0,0.268721099,0.036138656,0.030809319,0.043638896,0.014862976,0.011671207,0,0,0.002816757,0.00802109,0,0.420223728,0.100506036,0.010902251,0.015452147,0.004351567,0.00218745,0,0,0.02435361,0.005349044,0,88.7
1080,137,66.5,6,4,6.5,3,2,0,0,8,4,0,0,0,0,0,0,0,0.274634052,0.036844193,0.030591767,0.056417939,0.014971445,0.005560577,0,0,0.002806072,0.007889659,0,0.409466743,0.097409527,0.010384799,0.019058758,0.003906418,0.000923854,0,0,0.023883326,0.005246576,0,123
1080,137,65.8,6,4,5,3,4.2,0,0,8,4,0,0,0,0,0,0,0,0.253749054,0.0327073,0.030389179,0.043033836,0.014625957,0.011669857,0,0,0.002302271,0.007782546,0,0.435193904,0.103939878,0.011320125,0.016059484,0.004588424,0.002191576,0,0,0.024862013,0.005584595,0,140
1072,137,66.5,6,4,6.5,3,2,0,0,8,4,0,0,0,0,0,0,0,0.268626063,0.035475972,0.030422426,0.056111632,0.014886674,0.005563536,0,0,0.002596317,0.007793165,0,0.415469923,0.09878229,0.01055799,0.019363064,0.003991788,0.000925632,0,0,0.024095358,0.00533974,0,217
1072,137,65.8,6,4,5,3,4.2,0,0,8,4,0,0,0,0,0,0,0,0.248131371,0.031423005,0.030229972,0.042805392,0.014530128,0.011673844,0,0,0.002121811,0.007690592,0,0.44081219,0.105226333,0.011481904,0.01628743,0.004683247,0.002188776,0,0,0.025042534,0.005679813,0,250
1060,137,66.5,6,4,6.5,3,2,0,0,8,4,0,0,0,0,0,0,0,0.260003009,0.033518381,0.030175556,0.055672794,0.014764146,0.005563183,0,0,0.002310482,0.007656545,0,0.424094353,0.100735618,0.010803222,0.019805907,0.00411467,0.00092093,0,0,0.024381042,0.005478355,0,378
1040,160,66.5,6,4,6.5,3,2,0,0,8,4,0,0,0,0,0,0,0,0.246595736,0.030490875,0.02979043,0.054979055,0.014560645,0.005568341,0,0,0.001890027,0.007438803,0,0.437502024,0.103769471,0.011187722,0.020494592,0.004321699,0.000913035,0,0,0.024804118,0.005697338,0,223
1040,200,66.5,6,4,6.5,3,2,0,0,8,4,0,0,0,0,0,0,0,0.246595736,0.030490875,0.02979043,0.054979055,0.014560645,0.005568341,0,0,0.001890027,0.007438803,0,0.437502024,0.103769471,0.011187722,0.020494592,0.004321699,0.000913035,0,0,0.024804118,0.005697338,0,58.5
980,200,66.5,6,4,6.5,3,2,0,0,8,4,0,0,0,0,0,0,0,0.212429,0.022877075,0.028764381,0.053171879,0.013953051,0.005615,0,0,0.001009942,0.006869672,0,0.471665926,0.111376488,0.012214978,0.022306752,0.004927931,0.000871562,0,0,0.025681599,0.006264764,0,244.5
850,630,66.5,6,4,6.5,3,2,0,0,8,4,0,0,0,0,0,0,0,0.141946587,0.010628566,0.023812416,0.041857192,0.008549013,0.003332467,0,0,0.000247286,0.005138828,0,0.537861365,0.123629259,0.015234925,0.027372231,0.005793144,0.000506342,0,0,0.026441456,0.007781279,0,75
800,780,66.5,6,4,6.5,3,2,0,0,8,4,0,0,0,0,0,0,0,0.11780064,0.007454796,0.021486549,0.035764644,0.0059611,0.002436055,0,0,0.000142722,0.004465448,0,0.559092845,0.126798907,0.016397543,0.029464576,0.005633275,0.000370915,0,0,0.026551346,0.008422866,0,79
1072,150,65.8,6,4,5,3,4.2,0,0,8,4,0,0,0,0,0,0,0,0.248131371,0.031423005,0.030229972,0.042805392,0.014530128,0.011673844,0,0,0.002121811,0.007690592,0,0.44081219,0.105226333,0.011481904,0.01628743,0.004683247,0.002188776,0,0,0.025042534,0.005679813,0,93
